iter	Logloss
0	0.4465672468
1	0.4047935361
2	0.3930577581
3	0.379866439
4	0.3670385376
5	0.3390711725
6	0.3296202842
7	0.3180408725
8	0.3104681357
9	0.304700902
10	0.2928492619
11	0.283404706
12	0.2751209949
13	0.2680625299
14	0.2625920467
15	0.254778434
16	0.2463691721
17	0.241781868
18	0.2352983464
19	0.2307054777
20	0.2273276799
21	0.2201265391
22	0.2143003314
23	0.2118300563
24	0.2074074534
25	0.2034857476
26	0.2008560312
27	0.1963948248
28	0.1937462121
29	0.1924730624
30	0.1871689324
31	0.1832225378
32	0.1821354474
33	0.1805730095
34	0.1777010494
35	0.1766950799
36	0.1759855801
37	0.1743388896
38	0.1733927718
39	0.1712141875
40	0.1690980706
41	0.1677407693
42	0.1656436551
43	0.1645429667
44	0.1630086621
45	0.1612074699
46	0.1599977374
47	0.1593122497
48	0.1582195001
49	0.1571108344
50	0.1557102713
51	0.1548018398
52	0.1536935487
53	0.152921147
54	0.1518334473
55	0.1499567503
56	0.1493125522
57	0.1480559737
58	0.1463174288
59	0.1448615467
60	0.1438043782
61	0.1432306761
62	0.1422988258
63	0.141601044
64	0.1410738304
65	0.1402646335
66	0.1399421075
67	0.1384857949
68	0.13731343
69	0.1368828205
70	0.1365110973
71	0.1359521569
72	0.1351737621
73	0.1343246261
74	0.1337973267
75	0.1329129065
76	0.1326105902
77	0.132356265
78	0.1322270594
79	0.1317877073
80	0.1315534357
81	0.1312922751
82	0.1308684929
83	0.1303221571
84	0.1300338699
85	0.1294277925
86	0.1291331101
87	0.1285513335
88	0.1280995895
89	0.1277952639
90	0.1273946131
91	0.1270695179
92	0.1269309099
93	0.1266641792
94	0.1264151755
95	0.1257093695
96	0.1251701955
97	0.1249811816
98	0.1247275349
99	0.1245605165
