iter	Passed	Remaining
0	151	14993
1	152	7468
2	153	4952
3	153	3693
4	154	2940
5	155	2440
6	156	2079
7	157	1808
8	158	1597
9	158	1428
10	159	1290
11	160	1174
12	160	1077
13	161	993
14	162	920
15	163	856
16	163	800
17	164	750
18	165	705
19	166	664
20	167	628
21	167	594
22	168	564
23	169	536
24	170	511
25	171	487
26	172	465
27	173	445
28	174	426
29	174	407
30	175	390
31	176	374
32	177	359
33	177	345
34	178	332
35	179	319
36	180	307
37	181	295
38	181	284
39	182	273
40	183	263
41	183	253
42	184	244
43	185	235
44	186	227
45	186	219
46	187	211
47	188	204
48	189	196
49	189	189
50	190	183
51	191	176
52	192	170
53	192	164
54	193	158
55	194	152
56	195	147
57	196	141
58	196	136
59	197	131
60	198	126
61	198	121
62	199	117
63	200	112
64	201	108
65	201	103
66	202	99
67	203	95
68	203	91
69	204	87
70	205	83
71	205	80
72	206	76
73	207	72
74	208	69
75	209	66
76	210	62
77	210	59
78	211	56
79	212	53
80	213	50
81	214	47
82	214	44
83	215	41
84	216	38
85	216	35
86	217	32
87	218	29
88	218	27
89	219	24
90	220	21
91	221	19
92	222	16
93	222	14
94	223	11
95	224	9
96	225	6
97	226	4
98	227	2
99	227	0
