iter	Passed	Remaining
0	148	14718
1	149	7322
2	150	4859
3	151	3627
4	152	2889
5	153	2402
6	154	2055
7	155	1792
8	156	1584
9	157	1420
10	158	1282
11	159	1167
12	160	1071
13	160	988
14	161	916
15	162	852
16	163	798
17	164	747
18	164	703
19	165	662
20	166	626
21	168	597
22	169	568
23	170	540
24	171	514
25	172	490
26	172	467
27	173	446
28	174	426
29	174	408
30	175	390
31	176	374
32	177	359
33	178	345
34	178	332
35	179	319
36	181	308
37	183	299
38	184	288
39	185	277
40	185	267
41	186	257
42	187	248
43	188	239
44	188	230
45	189	222
46	189	214
47	190	206
48	191	199
49	192	192
50	192	185
51	193	178
52	194	172
53	195	166
54	196	160
55	197	155
56	199	150
57	199	144
58	200	139
59	201	134
60	202	129
61	202	124
62	203	119
63	204	114
64	205	110
65	206	106
66	207	102
67	208	98
68	209	94
69	210	90
70	212	86
71	214	83
72	215	79
73	216	75
74	216	72
75	217	68
76	218	65
77	218	61
78	219	58
79	220	55
80	220	51
81	221	48
82	222	45
83	223	42
84	223	39
85	224	36
86	225	33
87	226	30
88	226	28
89	227	25
90	228	22
91	230	20
92	231	17
93	232	14
94	233	12
95	233	9
96	234	7
97	235	4
98	236	2
99	236	0
